Day,Real Date,Treatment,Replicate,Additive Survival,%Survival
-6,16-Sep-20,0,1,5,100
-5,17-Sep-20,0,1,3,60
-4,18-Sep-20,0,1,3,60
-3,19-Sep-20,0,1,3,60
-2,20-Sep-20,0,1,3,60
-1,21-Sep-20,0,1,3,60
0,22-Sep-20,0,1,2,40
1,23-Sep-20,0,1,2,40
2,24-Sep-20,0,1,2,40
3,25-Sep-20,0,1,2,40
4,26-Sep-20,0,1,2,40
5,27-Sep-20,0,1,2,40
6,28-Sep-20,0,1,2,40
-6,16-Sep-20,0,2,5,100
-5,17-Sep-20,0,2,5,100
-4,18-Sep-20,0,2,5,100
-3,19-Sep-20,0,2,5,100
-2,20-Sep-20,0,2,5,100
-1,21-Sep-20,0,2,5,100
0,22-Sep-20,0,2,5,100
1,23-Sep-20,0,2,5,100
2,24-Sep-20,0,2,5,100
3,25-Sep-20,0,2,5,100
4,26-Sep-20,0,2,5,100
5,27-Sep-20,0,2,5,100
6,28-Sep-20,0,2,4,80
-6,16-Sep-20,0,3,5,100
-5,17-Sep-20,0,3,5,100
-4,18-Sep-20,0,3,5,100
-3,19-Sep-20,0,3,5,100
-2,20-Sep-20,0,3,5,100
-1,21-Sep-20,0,3,5,100
0,22-Sep-20,0,3,5,100
1,23-Sep-20,0,3,5,100
2,24-Sep-20,0,3,5,100
3,25-Sep-20,0,3,5,100
4,26-Sep-20,0,3,5,100
5,27-Sep-20,0,3,5,100
6,28-Sep-20,0,3,5,100
-6,16-Sep-20,0,4,5,100
-5,17-Sep-20,0,4,4,80
-4,18-Sep-20,0,4,4,80
-3,19-Sep-20,0,4,4,80
-2,20-Sep-20,0,4,4,80
-1,21-Sep-20,0,4,4,80
0,22-Sep-20,0,4,4,80
1,23-Sep-20,0,4,4,80
2,24-Sep-20,0,4,4,80
3,25-Sep-20,0,4,4,80
4,26-Sep-20,0,4,4,80
5,27-Sep-20,0,4,4,80
6,28-Sep-20,0,4,4,80
-6,16-Sep-20,15,1,5,100
-5,17-Sep-20,15,1,5,100
-4,18-Sep-20,15,1,5,100
-3,19-Sep-20,15,1,3,60
-2,20-Sep-20,15,1,3,60
-1,21-Sep-20,15,1,3,60
0,22-Sep-20,15,1,3,60
1,23-Sep-20,15,1,3,60
2,24-Sep-20,15,1,3,60
3,25-Sep-20,15,1,2,40
4,26-Sep-20,15,1,0,0
5,27-Sep-20,15,1,0,0
6,28-Sep-20,15,1,0,0
-6,16-Sep-20,15,2,5,100
-5,17-Sep-20,15,2,4,80
-4,18-Sep-20,15,2,4,80
-3,19-Sep-20,15,2,4,80
-2,20-Sep-20,15,2,4,80
-1,21-Sep-20,15,2,4,80
0,22-Sep-20,15,2,4,80
1,23-Sep-20,15,2,4,80
2,24-Sep-20,15,2,3,60
3,25-Sep-20,15,2,2,40
4,26-Sep-20,15,2,1,20
5,27-Sep-20,15,2,1,20
6,28-Sep-20,15,2,1,20
-6,16-Sep-20,15,3,5,100
-5,17-Sep-20,15,3,5,100
-4,18-Sep-20,15,3,4,80
-3,19-Sep-20,15,3,4,80
-2,20-Sep-20,15,3,4,80
-1,21-Sep-20,15,3,4,80
0,22-Sep-20,15,3,4,80
1,23-Sep-20,15,3,4,80
2,24-Sep-20,15,3,4,80
3,25-Sep-20,15,3,4,80
4,26-Sep-20,15,3,3,60
5,27-Sep-20,15,3,2,40
6,28-Sep-20,15,3,2,40
-6,16-Sep-20,15,4,5,100
-5,17-Sep-20,15,4,5,100
-4,18-Sep-20,15,4,5,100
-3,19-Sep-20,15,4,5,100
-2,20-Sep-20,15,4,5,100
-1,21-Sep-20,15,4,5,100
0,22-Sep-20,15,4,5,100
1,23-Sep-20,15,4,5,100
2,24-Sep-20,15,4,4,80
3,25-Sep-20,15,4,4,80
4,26-Sep-20,15,4,3,60
5,27-Sep-20,15,4,3,60
6,28-Sep-20,15,4,2,40
-6,16-Sep-20,2,1,5,100
-5,17-Sep-20,2,1,5,100
-4,18-Sep-20,2,1,5,100
-3,19-Sep-20,2,1,5,100
-2,20-Sep-20,2,1,5,100
-1,21-Sep-20,2,1,5,100
0,22-Sep-20,2,1,5,100
1,23-Sep-20,2,1,5,100
2,24-Sep-20,2,1,5,100
3,25-Sep-20,2,1,5,100
4,26-Sep-20,2,1,5,100
5,27-Sep-20,2,1,5,100
6,28-Sep-20,2,1,5,100
-6,16-Sep-20,2,2,5,100
-5,17-Sep-20,2,2,5,100
-4,18-Sep-20,2,2,4,80
-3,19-Sep-20,2,2,4,80
-2,20-Sep-20,2,2,4,80
-1,21-Sep-20,2,2,4,80
0,22-Sep-20,2,2,3,60
1,23-Sep-20,2,2,3,60
2,24-Sep-20,2,2,3,60
3,25-Sep-20,2,2,3,60
4,26-Sep-20,2,2,2,40
5,27-Sep-20,2,2,2,40
6,28-Sep-20,2,2,2,40
-6,16-Sep-20,2,3,5,100
-5,17-Sep-20,2,3,4,80
-4,18-Sep-20,2,3,4,80
-3,19-Sep-20,2,3,4,80
-2,20-Sep-20,2,3,4,80
-1,21-Sep-20,2,3,4,80
0,22-Sep-20,2,3,4,80
1,23-Sep-20,2,3,4,80
2,24-Sep-20,2,3,4,80
3,25-Sep-20,2,3,4,80
4,26-Sep-20,2,3,4,80
5,27-Sep-20,2,3,4,80
6,28-Sep-20,2,3,2,40
-6,16-Sep-20,2,4,5,100
-5,17-Sep-20,2,4,5,100
-4,18-Sep-20,2,4,5,100
-3,19-Sep-20,2,4,5,100
-2,20-Sep-20,2,4,5,100
-1,21-Sep-20,2,4,5,100
0,22-Sep-20,2,4,5,100
1,23-Sep-20,2,4,5,100
2,24-Sep-20,2,4,5,100
3,25-Sep-20,2,4,5,100
4,26-Sep-20,2,4,5,100
5,27-Sep-20,2,4,5,100
6,28-Sep-20,2,4,5,100
